metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
conversion_p04,0.1,26372,cuped,1500,0.47533333333333333,0.45015634616968253,0.5006363390791798,0.002136583902181427,0.03009698415360394
conversion_p04,0.1,37674,cuped,1500,0.6113333333333333,0.5864110402377631,0.6356868398552098,0.001787800499926626,0.030103698165465653
conversion_p04,0.1,52744,cuped,1500,0.7446666666666667,0.7219943353620211,0.7660890298722369,0.0015117101678646953,0.030133538990613915
conversion_p04,0.1,75350,cuped,1500,0.8846666666666667,0.8675100692642348,0.8998580553683724,0.0012651597983758794,0.030151854729346617
conversion_p04,0.1,105488,cuped,1500,0.9646666666666667,0.9540735206139236,0.9728858951034544,0.0010686986912837888,0.03011990669564738
conversion_p04,0.1,143164,cuped,1500,0.9906666666666667,0.9843943504914645,0.9944322348284642,0.0009175539834452455,0.03013263304098449
conversion_p04,0.1,26372,cuped_plus_strata,1500,0.47933333333333333,0.4541369775644245,0.5046352722386763,0.0020881784124210504,0.02874870451829386
conversion_p04,0.1,37674,cuped_plus_strata,1500,0.64,0.6153798833270084,0.6639048760713407,0.001747379602054893,0.028757840158831687
conversion_p04,0.1,52744,cuped_plus_strata,1500,0.7633333333333333,0.7411682357827225,0.7841530973713151,0.0014773850562481655,0.028780641845953258
conversion_p04,0.1,75350,cuped_plus_strata,1500,0.8953333333333333,0.8788186606451378,0.9098283027987719,0.0012364015933282605,0.028796677153461053
conversion_p04,0.1,105488,cuped_plus_strata,1500,0.9713333333333334,0.9616101063172817,0.9786485836571606,0.0010444234422213544,0.028767113654717156
conversion_p04,0.1,143164,cuped_plus_strata,1500,0.9913333333333333,0.9852283335257945,0.9949281792198403,0.0008967170364300279,0.028779594761583087
conversion_p04,0.1,26372,diff_in_means,1500,0.37666666666666665,0.35248985315186815,0.4014735730924432,0.002469549165437789,0.04020855161983197
conversion_p04,0.1,37674,diff_in_means,1500,0.4826666666666667,0.4574554059351735,0.5079664809964595,0.0020663694842784947,0.04021589158088211
conversion_p04,0.1,52744,diff_in_means,1500,0.62,0.5951594543869999,0.6442274822401565,0.00174696782327296,0.04024230824521633
conversion_p04,0.1,75350,diff_in_means,1500,0.7686666666666667,0.7466567901849227,0.7893039623747665,0.0014618727667099467,0.04025709353718286
conversion_p04,0.1,105488,diff_in_means,1500,0.8966666666666666,0.8802355983981932,0.9110712198971295,0.001234796577635321,0.04020998409442547
conversion_p04,0.1,143164,diff_in_means,1500,0.9753333333333334,0.966186324588402,0.9820519299402789,0.001060429569796953,0.04024736863763858
conversion_p04,0.1,26372,lin_adjusted,1500,0.47533333333333333,0.45015634616968253,0.5006363390791798,0.0021370001656551172,0.03010871268490992
conversion_p04,0.1,37674,lin_adjusted,1500,0.6106666666666667,0.5857384250715076,0.6350295275957589,0.0017879820075509011,0.03010981107135958
conversion_p04,0.1,52744,lin_adjusted,1500,0.7446666666666667,0.7219943353620211,0.7660890298722369,0.0015117715345238792,0.030135985533859884
conversion_p04,0.1,75350,lin_adjusted,1500,0.8846666666666667,0.8675100692642348,0.8998580553683724,0.0012651621708412984,0.030151967812768687
conversion_p04,0.1,105488,lin_adjusted,1500,0.9646666666666667,0.9540735206139236,0.9728858951034544,0.001068662415242585,0.030117861942638782
conversion_p04,0.1,143164,lin_adjusted,1500,0.9906666666666667,0.9843943504914645,0.9944322348284642,0.0009175086471279972,0.030129655409398395
conversion_p04,0.1,26372,post_stratified,1500,0.42533333333333334,0.4005360105507023,0.4505121177701781,0.002277316517095761,0.03419242223201204
conversion_p04,0.1,37674,post_stratified,1500,0.5713333333333334,0.546138264500563,0.5961639700500245,0.0019056104051313654,0.03420187954556099
